CMDLINE c:\Users\phoeb\OneDrive\Documents\KTH\HPC\Computational-Astrophysics\venv\Scripts\python.exe sph.py
MEM 8.292969 1738676001.4391
MEM 8.292969 1738676001.5394
MEM 8.292969 1738676001.6398
MEM 8.292969 1738676001.7404
MEM 8.292969 1738676001.8411
MEM 8.292969 1738676001.9413
MEM 8.292969 1738676002.0418
MEM 8.292969 1738676002.1422
MEM 8.292969 1738676002.2430
MEM 8.292969 1738676002.3433
MEM 8.292969 1738676002.4436
MEM 8.292969 1738676002.5443
MEM 8.292969 1738676002.6448
MEM 8.292969 1738676002.7455
MEM 8.292969 1738676002.8459
MEM 8.292969 1738676002.9464
MEM 8.292969 1738676003.0470
MEM 8.292969 1738676003.1475
MEM 8.292969 1738676003.2478
MEM 8.292969 1738676003.3483
MEM 8.292969 1738676003.4489
MEM 8.292969 1738676003.5501
MEM 8.292969 1738676003.6505
MEM 8.292969 1738676003.7514
MEM 8.292969 1738676003.8519
MEM 8.292969 1738676003.9528
MEM 8.292969 1738676004.0534
MEM 8.292969 1738676004.1541
MEM 8.292969 1738676004.2544
MEM 8.292969 1738676004.3547
MEM 8.292969 1738676004.4553
MEM 8.292969 1738676004.5556
MEM 8.292969 1738676004.6560
MEM 8.292969 1738676004.7564
MEM 8.292969 1738676004.8570
MEM 8.292969 1738676004.9579
MEM 8.292969 1738676005.0585
MEM 8.292969 1738676005.1591
MEM 8.292969 1738676005.2596
MEM 8.292969 1738676005.3604
MEM 8.292969 1738676005.4612
MEM 8.292969 1738676005.5618
MEM 8.292969 1738676005.6625
MEM 8.292969 1738676005.7631
MEM 8.292969 1738676005.8639
MEM 8.292969 1738676005.9642
MEM 8.292969 1738676006.0647
MEM 8.292969 1738676006.1650
MEM 8.292969 1738676006.2653
MEM 8.292969 1738676006.3660
MEM 8.292969 1738676006.4668
MEM 8.292969 1738676006.5711
MEM 8.292969 1738676006.6716
MEM 8.292969 1738676006.7722
MEM 8.292969 1738676006.8728
MEM 8.292969 1738676006.9732
MEM 8.292969 1738676007.0741
MEM 8.292969 1738676007.1746
MEM 8.292969 1738676007.2751
MEM 8.292969 1738676007.3759
MEM 8.292969 1738676007.4762
MEM 8.292969 1738676007.5767
MEM 8.292969 1738676007.6773
MEM 8.292969 1738676007.7778
MEM 8.292969 1738676007.8785
MEM 8.292969 1738676007.9791
MEM 8.292969 1738676008.0794
MEM 8.292969 1738676008.1797
MEM 8.292969 1738676008.2800
MEM 8.292969 1738676008.3806
MEM 8.292969 1738676008.4812
MEM 8.292969 1738676008.5816
MEM 8.292969 1738676008.6823
MEM 8.292969 1738676008.7829
MEM 8.292969 1738676008.8837
MEM 8.292969 1738676008.9844
MEM 8.292969 1738676009.0850
MEM 8.292969 1738676009.1856
MEM 8.292969 1738676009.2859
MEM 8.292969 1738676009.3863
MEM 8.292969 1738676009.4872
MEM 8.292969 1738676009.5879
MEM 8.292969 1738676009.6882
MEM 8.292969 1738676009.7889
MEM 8.292969 1738676009.8922
MEM 8.292969 1738676009.9924
MEM 8.292969 1738676010.0927
MEM 8.292969 1738676010.1933
MEM 8.292969 1738676010.2944
MEM 8.292969 1738676010.3948
MEM 8.292969 1738676010.4955
MEM 8.292969 1738676010.5960
MEM 8.292969 1738676010.6965
MEM 8.292969 1738676010.7967
MEM 8.292969 1738676010.8970
MEM 8.292969 1738676010.9975
MEM 8.292969 1738676011.0983
MEM 8.292969 1738676011.1990
MEM 8.292969 1738676011.3002
MEM 8.292969 1738676011.4007
MEM 8.292969 1738676011.5024
MEM 8.292969 1738676011.6028
MEM 8.292969 1738676011.7031
MEM 8.292969 1738676011.8037
MEM 8.292969 1738676011.9043
MEM 8.292969 1738676012.0045
MEM 8.292969 1738676012.1050
MEM 8.292969 1738676012.2056
MEM 8.292969 1738676012.3063
MEM 8.292969 1738676012.4067
MEM 8.292969 1738676012.5072
MEM 8.292969 1738676012.6081
MEM 8.292969 1738676012.7088
MEM 8.292969 1738676012.8096
MEM 8.292969 1738676012.9102
MEM 8.281250 1738676013.0107
