CMDLINE c:\Users\phoeb\OneDrive\Documents\KTH\HPC\Computational-Astrophysics\venv\Scripts\python.exe opt_sph.py
MEM 2.101562 1740311036.4420
MEM 10.031250 1740311036.5424
MEM 10.031250 1740311036.6433
MEM 10.031250 1740311036.7435
MEM 10.031250 1740311036.8441
MEM 10.031250 1740311036.9447
MEM 10.031250 1740311037.0542
MEM 10.031250 1740311037.1556
MEM 10.031250 1740311037.2559
MEM 10.031250 1740311037.3564
MEM 10.031250 1740311037.4568
MEM 10.031250 1740311037.5576
MEM 10.031250 1740311037.6580
MEM 10.031250 1740311037.7596
MEM 10.031250 1740311037.8603
MEM 10.031250 1740311037.9606
MEM 10.031250 1740311038.0611
MEM 10.031250 1740311038.1615
MEM 10.031250 1740311038.2622
MEM 10.031250 1740311038.3626
MEM 10.031250 1740311038.4632
MEM 10.031250 1740311038.5634
MEM 10.031250 1740311038.6640
MEM 10.031250 1740311038.7646
MEM 10.031250 1740311038.8653
MEM 10.031250 1740311038.9657
MEM 10.031250 1740311039.0661
MEM 10.031250 1740311039.1666
MEM 10.031250 1740311039.2674
MEM 10.031250 1740311039.3683
MEM 10.031250 1740311039.4689
MEM 10.031250 1740311039.5694
MEM 10.031250 1740311039.6699
MEM 10.031250 1740311039.7702
MEM 10.031250 1740311039.8705
MEM 10.031250 1740311039.9709
MEM 10.031250 1740311040.0718
MEM 10.031250 1740311040.1720
MEM 10.031250 1740311040.2726
MEM 10.031250 1740311040.3734
MEM 10.031250 1740311040.4737
MEM 10.031250 1740311040.5743
MEM 10.031250 1740311040.6759
MEM 10.031250 1740311040.7762
MEM 10.031250 1740311040.8775
MEM 10.031250 1740311040.9783
MEM 10.031250 1740311041.0790
MEM 10.031250 1740311041.1794
MEM 10.031250 1740311041.2800
MEM 10.031250 1740311041.3808
MEM 10.031250 1740311041.4816
MEM 10.031250 1740311041.5826
MEM 10.031250 1740311041.6837
MEM 10.031250 1740311041.7858
MEM 10.031250 1740311041.9319
MEM 10.031250 1740311042.0321
MEM 10.031250 1740311042.1327
MEM 10.031250 1740311042.2333
MEM 10.031250 1740311042.3338
MEM 10.031250 1740311042.4343
MEM 10.031250 1740311042.5348
MEM 10.031250 1740311042.6354
MEM 10.031250 1740311042.7355
MEM 10.031250 1740311042.8359
MEM 10.031250 1740311042.9365
MEM 10.031250 1740311043.0372
MEM 10.031250 1740311043.1374
MEM 10.031250 1740311043.2377
MEM 10.031250 1740311043.3384
MEM 10.031250 1740311043.4391
MEM 10.031250 1740311043.5393
MEM 10.031250 1740311043.6398
MEM 10.031250 1740311043.7405
MEM 10.031250 1740311043.8441
MEM 10.031250 1740311043.9445
MEM 10.031250 1740311044.0455
MEM 10.031250 1740311044.1476
MEM 10.031250 1740311044.2480
MEM 10.031250 1740311044.3486
MEM 10.031250 1740311044.4492
MEM 10.031250 1740311044.5499
MEM 10.031250 1740311044.6506
MEM 10.031250 1740311044.7513
MEM 10.031250 1740311044.8522
MEM 10.031250 1740311044.9526
MEM 10.031250 1740311045.0533
MEM 10.031250 1740311045.1538
MEM 10.031250 1740311045.2571
MEM 10.031250 1740311045.3576
MEM 10.031250 1740311045.4579
MEM 10.031250 1740311045.5583
MEM 10.031250 1740311045.6593
MEM 10.031250 1740311045.7600
MEM 10.031250 1740311045.8605
MEM 10.031250 1740311045.9744
MEM 10.031250 1740311046.0748
MEM 10.031250 1740311046.1760
MEM 10.031250 1740311046.2785
MEM 10.031250 1740311046.3793
MEM 10.031250 1740311046.4796
MEM 10.031250 1740311046.5805
MEM 10.031250 1740311046.6808
MEM 10.031250 1740311046.7811
MEM 10.031250 1740311046.8814
MEM 10.031250 1740311046.9816
MEM 10.031250 1740311047.0819
MEM 10.031250 1740311047.1821
MEM 10.031250 1740311047.2828
MEM 10.031250 1740311047.3833
MEM 10.031250 1740311047.4840
MEM 10.031250 1740311047.5844
MEM 10.031250 1740311047.6848
MEM 10.031250 1740311047.7859
MEM 10.031250 1740311047.8866
MEM 10.031250 1740311047.9869
MEM 10.031250 1740311048.0877
MEM 10.031250 1740311048.1883
MEM 10.031250 1740311048.2887
MEM 10.031250 1740311048.3890
MEM 10.031250 1740311048.4892
MEM 10.031250 1740311048.5898
MEM 10.031250 1740311048.6904
MEM 10.031250 1740311048.7906
MEM 10.031250 1740311048.8913
MEM 10.031250 1740311048.9917
MEM 10.031250 1740311049.0933
MEM 10.031250 1740311049.1944
MEM 10.031250 1740311049.2954
MEM 10.031250 1740311049.3959
MEM 10.031250 1740311049.4964
MEM 10.031250 1740311049.5970
MEM 10.031250 1740311049.6974
MEM 10.031250 1740311049.7979
MEM 10.031250 1740311049.8984
MEM 10.031250 1740311049.9987
MEM 10.031250 1740311050.0992
MEM 10.031250 1740311050.1995
MEM 10.031250 1740311050.2999
MEM 10.031250 1740311050.4010
MEM 10.031250 1740311050.5035
MEM 10.031250 1740311050.6041
MEM 10.031250 1740311050.7048
MEM 10.031250 1740311050.8054
MEM 10.031250 1740311050.9059
MEM 10.031250 1740311051.0064
MEM 10.031250 1740311051.1070
MEM 10.031250 1740311051.2074
MEM 10.031250 1740311051.3078
MEM 10.031250 1740311051.4090
MEM 10.031250 1740311051.5109
MEM 10.031250 1740311051.6112
MEM 10.031250 1740311051.7119
MEM 10.031250 1740311051.8128
MEM 10.031250 1740311051.9133
MEM 10.031250 1740311052.0169
MEM 10.031250 1740311052.1174
MEM 10.031250 1740311052.2180
MEM 10.031250 1740311052.3257
MEM 10.031250 1740311052.4339
MEM 10.031250 1740311052.5350
MEM 10.031250 1740311052.6357
MEM 10.031250 1740311052.7360
MEM 10.031250 1740311052.8367
MEM 10.031250 1740311052.9374
MEM 10.031250 1740311053.0376
MEM 10.031250 1740311053.1380
MEM 10.031250 1740311053.2384
MEM 10.031250 1740311053.3386
MEM 10.031250 1740311053.4391
MEM 10.031250 1740311053.5396
MEM 10.031250 1740311053.6403
MEM 10.031250 1740311053.7410
MEM 10.031250 1740311053.8412
MEM 10.031250 1740311053.9422
MEM 10.031250 1740311054.0425
MEM 10.031250 1740311054.1429
MEM 10.031250 1740311054.2439
MEM 10.031250 1740311054.3444
MEM 10.031250 1740311054.4449
MEM 10.031250 1740311054.5452
MEM 10.031250 1740311054.6511
MEM 10.031250 1740311054.7514
MEM 10.031250 1740311054.8541
MEM 10.031250 1740311054.9574
MEM 10.031250 1740311055.0576
MEM 10.031250 1740311055.1580
MEM 10.031250 1740311055.2594
MEM 10.031250 1740311055.3599
MEM 10.031250 1740311055.4616
MEM 10.031250 1740311055.5626
MEM 10.031250 1740311055.6641
MEM 10.031250 1740311055.7644
MEM 10.031250 1740311055.8651
MEM 10.031250 1740311055.9664
MEM 10.031250 1740311056.0711
MEM 10.031250 1740311056.1723
MEM 10.031250 1740311056.2791
MEM 10.031250 1740311056.3796
MEM 10.031250 1740311056.4799
MEM 10.031250 1740311056.5804
MEM 10.031250 1740311056.6807
MEM 10.031250 1740311056.7813
MEM 10.031250 1740311056.8815
MEM 10.031250 1740311056.9818
MEM 10.031250 1740311057.0824
MEM 10.031250 1740311057.1828
MEM 10.031250 1740311057.2833
MEM 10.031250 1740311057.3838
MEM 10.031250 1740311057.4847
MEM 10.031250 1740311057.5850
MEM 10.031250 1740311057.6856
MEM 10.031250 1740311057.7859
MEM 10.031250 1740311057.8866
MEM 10.031250 1740311057.9872
MEM 10.031250 1740311058.0875
MEM 10.031250 1740311058.1959
MEM 10.031250 1740311058.2964
MEM 10.031250 1740311058.3972
MEM 10.031250 1740311058.4976
MEM 10.031250 1740311058.5979
MEM 10.031250 1740311058.6983
MEM 10.031250 1740311058.7985
MEM 10.031250 1740311058.8988
MEM 10.031250 1740311058.9991
MEM 10.031250 1740311059.0994
MEM 10.031250 1740311059.2000
MEM 10.031250 1740311059.3007
MEM 10.031250 1740311059.4022
MEM 10.031250 1740311059.5028
MEM 10.031250 1740311059.6035
MEM 10.031250 1740311059.7095
MEM 10.031250 1740311059.8110
MEM 10.031250 1740311059.9120
MEM 10.031250 1740311060.0168
MEM 10.031250 1740311060.1259
MEM 10.031250 1740311060.2271
MEM 10.031250 1740311060.3276
MEM 10.031250 1740311060.4303
MEM 10.031250 1740311060.5314
MEM 10.031250 1740311060.6322
MEM 10.031250 1740311060.7339
MEM 10.031250 1740311060.8345
MEM 10.031250 1740311060.9349
MEM 10.031250 1740311061.0351
MEM 10.031250 1740311061.1353
MEM 10.031250 1740311061.2356
MEM 10.031250 1740311061.3362
MEM 10.031250 1740311061.4367
MEM 10.031250 1740311061.5371
MEM 10.031250 1740311061.6375
MEM 10.031250 1740311061.7378
MEM 10.031250 1740311061.8384
MEM 10.031250 1740311061.9391
MEM 10.031250 1740311062.0395
MEM 10.031250 1740311062.1400
MEM 10.031250 1740311062.2404
MEM 10.031250 1740311062.3410
MEM 10.031250 1740311062.4416
MEM 10.031250 1740311062.5422
MEM 10.031250 1740311062.6429
MEM 10.031250 1740311062.7515
MEM 10.031250 1740311062.8521
MEM 10.031250 1740311062.9594
MEM 10.031250 1740311063.0671
MEM 10.031250 1740311063.1754
MEM 10.031250 1740311063.2761
MEM 10.031250 1740311063.3763
MEM 10.031250 1740311063.4767
MEM 10.031250 1740311063.5840
MEM 10.031250 1740311063.6917
MEM 10.031250 1740311063.7928
MEM 10.031250 1740311063.8932
MEM 10.031250 1740311063.9935
MEM 10.031250 1740311064.0940
MEM 10.031250 1740311064.1946
MEM 10.031250 1740311064.2950
MEM 10.031250 1740311064.3956
MEM 10.031250 1740311064.4960
MEM 10.031250 1740311064.5963
MEM 10.031250 1740311064.7007
MEM 10.031250 1740311064.8041
MEM 10.031250 1740311064.9047
MEM 10.031250 1740311065.0051
MEM 10.031250 1740311065.1056
MEM 10.031250 1740311065.2092
MEM 10.031250 1740311065.3096
MEM 10.031250 1740311065.4171
MEM 10.031250 1740311065.5173
MEM 10.031250 1740311065.6214
MEM 10.031250 1740311065.7337
MEM 10.031250 1740311065.8344
MEM 10.031250 1740311065.9346
MEM 10.031250 1740311066.0349
MEM 10.031250 1740311066.1353
MEM 10.031250 1740311066.2356
MEM 10.031250 1740311066.3361
MEM 10.031250 1740311066.4363
MEM 9.976562 1740311066.5370
MEM 9.976562 1740311066.6373
MEM 9.976562 1740311066.7376
MEM 9.976562 1740311066.8378
MEM 9.976562 1740311066.9380
MEM 9.976562 1740311067.0387
MEM 9.976562 1740311067.1429
MEM 9.976562 1740311067.2500
MEM 9.976562 1740311067.3511
MEM 9.976562 1740311067.4538
MEM 9.976562 1740311067.5647
MEM 9.976562 1740311067.6731
MEM 9.976562 1740311067.7733
MEM 9.976562 1740311067.8737
MEM 9.976562 1740311067.9740
MEM 9.976562 1740311068.0743
MEM 9.976562 1740311068.1746
MEM 9.976562 1740311068.2759
MEM 9.976562 1740311068.3763
MEM 9.976562 1740311068.4766
MEM 9.976562 1740311068.5770
MEM 9.976562 1740311068.6774
MEM 9.976562 1740311068.7778
MEM 9.976562 1740311068.8784
MEM 9.976562 1740311068.9786
MEM 9.976562 1740311069.0790
MEM 9.976562 1740311069.1792
MEM 9.976562 1740311069.2797
MEM 9.976562 1740311069.3801
MEM 9.976562 1740311069.4803
MEM 9.976562 1740311069.5809
MEM 9.976562 1740311069.6812
MEM 9.976562 1740311069.7835
MEM 9.976562 1740311069.8843
MEM 9.976562 1740311069.9951
MEM 9.976562 1740311070.0994
MEM 9.976562 1740311070.2062
MEM 9.976562 1740311070.3125
MEM 9.976562 1740311070.4191
MEM 9.976562 1740311070.5196
MEM 9.976562 1740311070.6199
MEM 9.976562 1740311070.7201
MEM 9.976562 1740311070.8229
MEM 9.976562 1740311070.9235
MEM 9.976562 1740311071.0238
MEM 9.976562 1740311071.1243
MEM 9.976562 1740311071.2246
MEM 9.976562 1740311071.3252
MEM 9.976562 1740311071.4255
MEM 9.976562 1740311071.5268
MEM 9.976562 1740311071.6329
MEM 9.976562 1740311071.7339
MEM 9.976562 1740311071.8345
MEM 9.976562 1740311071.9352
MEM 9.976562 1740311072.0353
MEM 9.976562 1740311072.1357
MEM 9.976562 1740311072.2363
MEM 9.976562 1740311072.3367
MEM 9.976562 1740311072.4374
MEM 9.976562 1740311072.5383
MEM 9.976562 1740311072.6387
MEM 9.976562 1740311072.7392
MEM 9.976562 1740311072.8398
MEM 9.976562 1740311072.9402
MEM 9.976562 1740311073.0406
MEM 9.976562 1740311073.1409
MEM 9.976562 1740311073.2413
MEM 9.976562 1740311073.3415
MEM 9.976562 1740311073.4421
MEM 9.976562 1740311073.5425
MEM 9.976562 1740311073.6503
MEM 9.976562 1740311073.7523
MEM 9.976562 1740311073.8525
MEM 9.976562 1740311073.9529
MEM 9.976562 1740311074.0575
MEM 9.976562 1740311074.1588
MEM 9.976562 1740311074.2633
MEM 9.976562 1740311074.3637
MEM 9.976562 1740311074.4642
MEM 9.976562 1740311074.5647
MEM 9.976562 1740311074.6699
MEM 9.976562 1740311074.7750
MEM 9.976562 1740311074.8761
MEM 9.976562 1740311074.9764
MEM 9.976562 1740311075.0770
MEM 9.976562 1740311075.1773
MEM 9.976562 1740311075.2775
MEM 9.976562 1740311075.3780
MEM 9.976562 1740311075.4784
MEM 9.976562 1740311075.5791
MEM 9.976562 1740311075.6797
MEM 9.976562 1740311075.7801
MEM 9.976562 1740311075.8804
MEM 9.976562 1740311075.9812
MEM 9.976562 1740311076.0838
MEM 9.976562 1740311076.1921
MEM 9.976562 1740311076.2924
MEM 9.976562 1740311076.3926
MEM 9.976562 1740311076.4931
MEM 9.976562 1740311076.5939
MEM 9.976562 1740311076.6945
MEM 9.976562 1740311076.7948
MEM 9.976562 1740311076.8954
MEM 9.976562 1740311076.9960
MEM 9.976562 1740311077.0961
MEM 9.976562 1740311077.1967
MEM 9.976562 1740311077.2970
MEM 9.976562 1740311077.3975
MEM 9.976562 1740311077.4982
MEM 9.976562 1740311077.5985
MEM 9.976562 1740311077.6988
FUNC __main__.getAcc 113.1016 1740311037.9253 120.8555 1740311038.0192 0
FUNC __main__.getAcc 121.7969 1740311038.0343 121.8750 1740311038.1193 0
FUNC __main__.getAcc 121.1289 1740311038.1859 121.4023 1740311038.2746 0
FUNC __main__.getAcc 121.2969 1740311038.3364 121.4258 1740311038.4229 0
FUNC __main__.getAcc 121.3203 1740311038.4825 120.5586 1740311038.5665 0
FUNC __main__.getAcc 120.4727 1740311038.6282 120.6016 1740311038.7204 0
FUNC __main__.getAcc 120.5039 1740311038.7893 120.6562 1740311038.8956 0
FUNC __main__.getAcc 120.5547 1740311038.9632 120.6836 1740311039.0458 0
FUNC __main__.getAcc 120.5977 1740311039.1092 120.7461 1740311039.1958 0
FUNC __main__.getAcc 120.6211 1740311039.2569 120.7500 1740311039.3461 0
FUNC __main__.getAcc 120.6250 1740311039.4145 120.7734 1740311039.5129 0
FUNC __main__.getAcc 120.2500 1740311039.5800 120.5039 1740311039.6744 0
FUNC __main__.getAcc 120.4219 1740311039.7284 120.5703 1740311039.8149 0
FUNC __main__.getAcc 120.4336 1740311039.8756 120.5625 1740311039.9561 0
FUNC __main__.getAcc 120.4844 1740311040.0231 120.6328 1740311040.1070 0
FUNC __main__.getAcc 120.5156 1740311040.1715 120.6445 1740311040.2491 0
