CMDLINE c:\Users\phoeb\OneDrive\Documents\KTH\HPC\Computational-Astrophysics\venv\Scripts\python.exe sph.py
MEM 9.992188 1740310619.5476
MEM 9.992188 1740310619.6483
MEM 9.992188 1740310619.7486
MEM 9.992188 1740310619.8488
MEM 9.992188 1740310619.9497
MEM 9.992188 1740310620.0512
MEM 9.992188 1740310620.1521
MEM 9.992188 1740310620.2527
MEM 9.992188 1740310620.3529
MEM 9.992188 1740310620.4533
MEM 9.992188 1740310620.5536
MEM 9.992188 1740310620.6539
MEM 9.992188 1740310620.7543
MEM 9.992188 1740310620.8548
MEM 9.992188 1740310620.9551
MEM 9.992188 1740310621.0553
MEM 9.992188 1740310621.1560
MEM 9.992188 1740310621.2563
MEM 9.992188 1740310621.3568
MEM 9.992188 1740310621.4586
MEM 9.992188 1740310621.5592
MEM 9.992188 1740310621.6596
MEM 9.992188 1740310621.7604
MEM 9.992188 1740310621.8609
MEM 9.992188 1740310621.9619
MEM 9.992188 1740310622.0627
MEM 9.992188 1740310622.1629
MEM 9.992188 1740310622.2635
MEM 9.992188 1740310622.3639
MEM 9.992188 1740310622.4644
MEM 9.992188 1740310622.5649
MEM 9.992188 1740310622.6652
MEM 9.992188 1740310622.7660
MEM 9.992188 1740310622.8675
MEM 9.992188 1740310622.9682
MEM 9.992188 1740310623.0689
MEM 9.992188 1740310623.1695
MEM 9.992188 1740310623.2707
MEM 9.992188 1740310623.3711
MEM 9.992188 1740310623.4718
MEM 9.992188 1740310623.5723
MEM 9.992188 1740310623.6726
MEM 9.992188 1740310623.7731
MEM 9.992188 1740310623.8737
MEM 9.992188 1740310623.9741
MEM 9.992188 1740310624.0756
MEM 9.992188 1740310624.1763
MEM 9.992188 1740310624.2770
MEM 9.992188 1740310624.3776
MEM 9.992188 1740310624.4786
MEM 9.992188 1740310624.5790
MEM 9.992188 1740310624.6795
MEM 9.992188 1740310624.7801
MEM 9.992188 1740310624.8807
MEM 9.992188 1740310624.9814
MEM 9.992188 1740310625.0840
MEM 9.992188 1740310625.1850
MEM 9.992188 1740310625.2867
MEM 9.992188 1740310625.3871
MEM 9.992188 1740310625.4874
MEM 9.992188 1740310625.5878
MEM 9.992188 1740310625.6881
MEM 9.992188 1740310625.7885
MEM 9.992188 1740310625.8890
MEM 9.992188 1740310625.9894
MEM 9.992188 1740310626.0899
MEM 9.992188 1740310626.1910
MEM 9.992188 1740310626.2928
MEM 9.992188 1740310626.3982
MEM 9.992188 1740310626.4986
MEM 9.992188 1740310626.6008
MEM 9.992188 1740310626.7015
MEM 9.992188 1740310626.8019
MEM 9.992188 1740310626.9022
MEM 9.992188 1740310627.0025
MEM 9.992188 1740310627.1031
MEM 9.992188 1740310627.2037
MEM 9.992188 1740310627.3043
MEM 9.992188 1740310627.4049
MEM 9.992188 1740310627.5055
MEM 9.992188 1740310627.6061
MEM 9.992188 1740310627.7066
MEM 9.992188 1740310627.8074
MEM 9.992188 1740310627.9080
MEM 9.992188 1740310628.0087
MEM 9.992188 1740310628.1094
MEM 9.992188 1740310628.2101
MEM 9.992188 1740310628.3116
MEM 9.992188 1740310628.4121
MEM 9.992188 1740310628.5130
MEM 9.992188 1740310628.6133
MEM 9.992188 1740310628.7140
MEM 9.992188 1740310628.8144
MEM 9.992188 1740310628.9150
MEM 9.992188 1740310629.0159
MEM 9.992188 1740310629.1161
MEM 9.992188 1740310629.2167
MEM 9.992188 1740310629.3174
MEM 9.992188 1740310629.4177
MEM 9.992188 1740310629.5184
MEM 9.992188 1740310629.6188
MEM 9.992188 1740310629.7193
MEM 9.992188 1740310629.8204
MEM 9.992188 1740310629.9208
MEM 9.992188 1740310630.0210
MEM 9.992188 1740310630.1216
MEM 9.992188 1740310630.2219
MEM 9.992188 1740310630.3226
MEM 9.992188 1740310630.4248
MEM 9.992188 1740310630.5278
MEM 9.992188 1740310630.6290
MEM 9.992188 1740310630.7294
MEM 9.992188 1740310630.8296
MEM 9.992188 1740310630.9300
MEM 9.980469 1740310631.0306
MEM 9.980469 1740310631.1315
MEM 9.980469 1740310631.2321
MEM 9.980469 1740310631.3327
MEM 9.980469 1740310631.4349
MEM 9.980469 1740310631.5352
MEM 9.980469 1740310631.6358
MEM 9.980469 1740310631.7364
MEM 9.980469 1740310631.8367
MEM 9.980469 1740310631.9371
MEM 9.980469 1740310632.0374
MEM 9.980469 1740310632.1376
MEM 9.980469 1740310632.2379
MEM 9.980469 1740310632.3386
MEM 9.980469 1740310632.4388
MEM 9.980469 1740310632.5390
MEM 9.980469 1740310632.6393
MEM 9.980469 1740310632.7402
MEM 9.980469 1740310632.8408
MEM 9.980469 1740310632.9413
MEM 9.980469 1740310633.0417
MEM 9.980469 1740310633.1426
MEM 9.980469 1740310633.2435
MEM 9.980469 1740310633.3438
MEM 9.980469 1740310633.4445
MEM 9.980469 1740310633.5453
MEM 9.980469 1740310633.6459
MEM 9.980469 1740310633.7462
MEM 9.980469 1740310633.8465
MEM 9.980469 1740310633.9468
MEM 9.980469 1740310634.0470
MEM 9.980469 1740310634.1472
MEM 9.980469 1740310634.2475
MEM 9.980469 1740310634.3478
MEM 9.980469 1740310634.4485
MEM 9.980469 1740310634.5506
MEM 9.980469 1740310634.6528
MEM 9.980469 1740310634.7533
MEM 9.980469 1740310634.8539
MEM 9.980469 1740310634.9543
MEM 9.980469 1740310635.0547
MEM 9.980469 1740310635.1549
MEM 9.980469 1740310635.2554
MEM 9.980469 1740310635.3558
MEM 9.980469 1740310635.4562
MEM 9.980469 1740310635.5568
MEM 9.980469 1740310635.6570
MEM 9.980469 1740310635.7572
MEM 9.980469 1740310635.8575
MEM 9.980469 1740310635.9579
MEM 9.980469 1740310636.0582
MEM 9.980469 1740310636.1587
MEM 9.980469 1740310636.2589
MEM 9.980469 1740310636.3591
MEM 9.980469 1740310636.4597
MEM 9.980469 1740310636.5602
MEM 9.980469 1740310636.6607
MEM 9.980469 1740310636.7612
MEM 9.980469 1740310636.8615
MEM 9.980469 1740310636.9620
MEM 9.980469 1740310637.0626
MEM 9.980469 1740310637.1630
MEM 9.980469 1740310637.2631
MEM 9.980469 1740310637.3634
MEM 9.980469 1740310637.4638
MEM 9.980469 1740310637.5645
MEM 9.980469 1740310637.6649
MEM 9.980469 1740310637.7653
MEM 9.980469 1740310637.8672
MEM 9.980469 1740310637.9683
MEM 9.980469 1740310638.0689
MEM 9.980469 1740310638.1695
MEM 9.980469 1740310638.2701
MEM 9.980469 1740310638.3704
MEM 9.980469 1740310638.4710
MEM 9.980469 1740310638.5713
MEM 9.980469 1740310638.6717
MEM 9.980469 1740310638.7721
MEM 9.980469 1740310638.8724
MEM 9.980469 1740310638.9728
MEM 9.980469 1740310639.0735
MEM 9.980469 1740310639.1741
MEM 9.980469 1740310639.2744
