CMDLINE c:\Users\phoeb\OneDrive\Documents\KTH\HPC\Computational-Astrophysics\venv\Scripts\python.exe opt_sph.py
MEM 10.027344 1740310802.9926
MEM 10.027344 1740310803.0935
MEM 10.027344 1740310803.1937
MEM 10.027344 1740310803.2939
MEM 10.027344 1740310803.3950
MEM 10.027344 1740310803.4957
MEM 10.027344 1740310803.5964
MEM 10.027344 1740310803.6985
MEM 10.027344 1740310803.7997
MEM 10.027344 1740310803.9004
MEM 10.027344 1740310804.0011
MEM 10.027344 1740310804.1017
MEM 10.027344 1740310804.2019
MEM 10.027344 1740310804.3022
MEM 10.027344 1740310804.4024
MEM 10.027344 1740310804.5035
MEM 10.027344 1740310804.6037
MEM 10.027344 1740310804.7039
MEM 10.027344 1740310804.8045
MEM 10.027344 1740310804.9052
MEM 10.027344 1740310805.0054
MEM 10.027344 1740310805.1066
MEM 10.027344 1740310805.2067
MEM 10.027344 1740310805.3070
MEM 10.027344 1740310805.4116
MEM 10.027344 1740310805.5120
MEM 10.027344 1740310805.6124
MEM 9.980469 1740310805.7131
MEM 9.968750 1740310805.8134
MEM 9.968750 1740310805.9141
MEM 9.968750 1740310806.0144
MEM 9.968750 1740310806.1146
MEM 9.968750 1740310806.2148
MEM 9.968750 1740310806.3153
MEM 9.968750 1740310806.4155
MEM 9.968750 1740310806.5162
MEM 9.968750 1740310806.6169
MEM 9.968750 1740310806.7176
MEM 9.968750 1740310806.8181
MEM 9.968750 1740310806.9187
MEM 9.968750 1740310807.0189
MEM 9.968750 1740310807.1586
MEM 9.968750 1740310807.2592
MEM 9.968750 1740310807.3595
MEM 9.968750 1740310807.4597
MEM 9.968750 1740310807.5601
MEM 9.968750 1740310807.6607
MEM 9.968750 1740310807.7612
MEM 9.968750 1740310807.8614
MEM 9.968750 1740310807.9656
MEM 9.968750 1740310808.0660
MEM 9.968750 1740310808.1668
MEM 9.968750 1740310808.2672
MEM 9.968750 1740310808.3677
MEM 9.968750 1740310808.4684
MEM 9.968750 1740310808.5696
MEM 9.968750 1740310808.6703
MEM 9.968750 1740310808.7709
MEM 9.968750 1740310808.8714
MEM 9.968750 1740310808.9716
MEM 9.968750 1740310809.0719
MEM 9.968750 1740310809.1722
MEM 9.968750 1740310809.2727
MEM 9.968750 1740310809.3729
MEM 9.968750 1740310809.4732
MEM 9.968750 1740310809.5734
MEM 9.968750 1740310809.6747
MEM 9.968750 1740310809.7749
MEM 9.968750 1740310809.8750
MEM 9.968750 1740310809.9754
MEM 9.968750 1740310810.0761
MEM 9.968750 1740310810.1767
MEM 9.968750 1740310810.2769
MEM 9.968750 1740310810.3771
MEM 9.968750 1740310810.4782
MEM 9.968750 1740310810.5792
MEM 9.968750 1740310810.6796
MEM 9.968750 1740310810.7800
MEM 9.968750 1740310810.8858
MEM 9.968750 1740310810.9870
MEM 9.968750 1740310811.0912
MEM 9.968750 1740310811.2045
MEM 9.968750 1740310811.3056
MEM 9.968750 1740310811.4063
MEM 9.968750 1740310811.5069
MEM 9.968750 1740310811.6075
MEM 9.968750 1740310811.7077
MEM 9.968750 1740310811.8088
MEM 9.968750 1740310811.9097
MEM 9.968750 1740310812.0102
MEM 9.968750 1740310812.1106
MEM 9.968750 1740310812.2164
MEM 9.968750 1740310812.3199
MEM 9.968750 1740310812.4271
MEM 9.968750 1740310812.5359
MEM 9.968750 1740310812.6481
MEM 9.968750 1740310812.7514
MEM 9.968750 1740310812.8546
MEM 9.968750 1740310812.9548
MEM 9.968750 1740310813.0553
MEM 9.968750 1740310813.1563
MEM 9.968750 1740310813.2569
MEM 9.968750 1740310813.3575
MEM 9.968750 1740310813.4578
MEM 9.968750 1740310813.5585
MEM 9.968750 1740310813.6595
MEM 9.968750 1740310813.7603
MEM 9.968750 1740310813.8609
MEM 9.968750 1740310813.9613
MEM 9.968750 1740310814.0620
MEM 9.968750 1740310814.1695
MEM 9.968750 1740310814.2706
MEM 9.968750 1740310814.3708
MEM 9.968750 1740310814.4712
MEM 9.968750 1740310814.5718
MEM 9.968750 1740310814.6721
MEM 9.968750 1740310814.7728
MEM 9.968750 1740310814.8734
MEM 9.968750 1740310814.9736
MEM 9.968750 1740310815.0739
MEM 9.968750 1740310815.1821
MEM 9.968750 1740310815.2827
MEM 9.968750 1740310815.3834
MEM 9.968750 1740310815.4838
MEM 9.968750 1740310815.5839
MEM 9.968750 1740310815.6842
MEM 9.968750 1740310815.7844
MEM 9.968750 1740310815.8846
MEM 9.968750 1740310815.9862
MEM 9.968750 1740310816.0873
MEM 9.968750 1740310816.1878
MEM 9.968750 1740310816.2881
MEM 9.968750 1740310816.3885
MEM 9.968750 1740310816.4889
MEM 9.968750 1740310816.5896
MEM 9.968750 1740310816.6903
MEM 9.968750 1740310816.7906
MEM 9.968750 1740310816.8909
MEM 9.968750 1740310816.9917
MEM 9.968750 1740310817.0921
MEM 9.968750 1740310817.1926
MEM 9.968750 1740310817.2930
MEM 9.968750 1740310817.3934
MEM 9.968750 1740310817.4939
MEM 9.968750 1740310817.5976
MEM 9.968750 1740310817.6982
MEM 9.968750 1740310817.7989
MEM 9.968750 1740310817.8995
MEM 9.968750 1740310818.0002
MEM 9.968750 1740310818.1004
MEM 9.968750 1740310818.2010
MEM 9.968750 1740310818.3024
MEM 9.968750 1740310818.4034
MEM 9.968750 1740310818.5038
MEM 9.968750 1740310818.6042
MEM 9.968750 1740310818.7046
MEM 9.968750 1740310818.8052
MEM 9.968750 1740310818.9059
MEM 9.968750 1740310819.0066
MEM 9.968750 1740310819.1079
MEM 9.968750 1740310819.2085
MEM 9.968750 1740310819.3091
MEM 9.968750 1740310819.4093
MEM 9.968750 1740310819.5100
MEM 9.968750 1740310819.6101
MEM 9.968750 1740310819.7106
MEM 9.968750 1740310819.8112
MEM 9.968750 1740310819.9115
MEM 9.968750 1740310820.0149
MEM 9.968750 1740310820.1191
MEM 9.968750 1740310820.2199
MEM 9.968750 1740310820.3205
MEM 9.968750 1740310820.4213
MEM 9.968750 1740310820.5219
MEM 9.968750 1740310820.6222
MEM 9.968750 1740310820.7224
MEM 9.968750 1740310820.8231
