42227116 function calls (41023071 primitive calls) in 23.800 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 _mathtext_data.py:1726(<listcomp>)
      917    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       61    0.000    0.000    0.000    0.000 typing.py:1019(__init__)
        1    0.000    0.000    0.000    0.000 _cm_bivar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:143(__getattr__)
        1    0.000    0.000    0.000    0.000 _arraysetops_impl.py:1(<module>)
       14    0.000    0.000    0.000    0.000 minidom.py:1493(_create_document)
        1    0.000    0.000    0.000    0.000 alias.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:36(_load_formatters)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
        1    0.000    0.000    0.000    0.000 formatter.py:1(<module>)
     3005    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 Image.py:652(_ensure_mutable)
      351    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 widgets.py:1(<module>)
      604    0.000    0.000    0.000    0.000 figure.py:163(<lambda>)
        1    0.000    0.000    0.000    0.000 Image.py:647(_copy)
      300    0.000    0.000    0.000    0.000 figure.py:433(get_facecolor)
     2408    0.000    0.000    0.000    0.000 axis.py:1738(<dictcomp>)
        1    0.000    0.000    0.000    0.000 history.py:131(HistoryAccessor)
     3004    0.000    0.000    0.000    0.000 ticker.py:258(_set_locator)
        2    0.000    0.000    0.000    0.000 sysconfig.py:634(get_path)
      300    0.000    0.000    0.000    0.000 collections.py:579(_get_default_linewidth)
        2    0.000    0.000    0.000    0.000 sysconfig.py:622(get_paths)
        1    0.000    0.000    0.000    0.000 __init__.py:149(EntryPoint)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'ImagingCore' objects}
        1    0.000    0.000    0.000    0.000 _osx_support.py:178(_supports_universal_builds)
        1    0.000    0.000    0.000    0.000 _osx_support.py:117(_get_system_version_tuple)
     1207    0.000    0.000    0.000    0.000 {built-in method numpy.lib.array_utils.normalize_axis_index}
       35    0.000    0.000    0.000    0.000 __init__.py:1327(getLogger)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:1(<module>)
       24    0.000    0.000    0.000    0.000 gettext.py:511(translation)
        1    0.000    0.000    0.000    0.000 access.py:1(<module>)
      472    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
        2    0.000    0.000    0.000    0.000 sysconfig.py:273(_expand_vars)
       15    0.000    0.000    0.000    0.000 text.py:395(dedent)
        1    0.000    0.000    0.000    0.000 fuzzy_completer.py:1(<module>)
      395    0.000    0.000    0.000    0.000 font_manager.py:1167(_expand_aliases)
        1    0.000    0.000    0.000    0.000 _osx_support.py:86(_get_system_version)
        1    0.000    0.000    0.000    0.000 _enums.py:1(<module>)
     3701    0.000    0.000    0.000    0.000 typing.py:1358(<genexpr>)
        8    0.000    0.000    0.000    0.000 colors.py:2562(make_norm_from_scale)
        1    0.000    0.000    0.000    0.000 magics.py:1(<module>)
       24    0.000    0.000    0.000    0.000 argparse.py:1470(add_argument_group)
      997    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      145    0.000    0.000    0.000    0.000 enum.py:977(_find_data_type_)
     2706    0.000    0.000    0.000    0.000 artist.py:1362(get_mouseover)
     1115    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      938    0.000    0.000    0.000    0.000 inspect.py:755(_is_wrapper)
     2706    0.000    0.000    0.000    0.000 artist.py:427(is_transform_set)
     3400    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
  820/656    0.000    0.000    0.000    0.000 typing.py:1371(__hash__)
      600    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
       49    0.000    0.000    0.000    0.000 named_commands.py:43(decorator)
     3624    0.000    0.000    0.000    0.000 multiarray.py:690(result_type)
        1    0.000    0.000    0.000    0.000 environment.py:1(<module>)
      246    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
        1    0.000    0.000    0.000    0.000 modeline.py:1(<module>)
        1    0.000    0.000    0.000    0.000 excolors.py:1(<module>)
      119    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      319    0.000    0.000    0.000    0.000 function_base.py:473(_add_docstring)
     2416    0.000    0.000    0.000    0.000 axis.py:345(<dictcomp>)
      340    0.000    0.000    0.000    0.000 traitlets.py:507(__init__)
     2416    0.000    0.000    0.000    0.000 axis.py:327(<dictcomp>)
       55    0.000    0.000    0.000    0.000 contextlib.py:260(contextmanager)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     2416    0.000    0.000    0.000    0.000 axis.py:340(<dictcomp>)
       31    0.000    0.000    0.000    0.000 pathlib.py:940(glob)
        1    0.000    0.000    0.000    0.000 history.py:480(HistoryManager)
        9    0.000    0.000    0.000    0.000 _version.py:55(__init__)
       86    0.000    0.000    0.000    0.000 __init__.py:245(make_alias)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:458(_mac_os_check)
       24    0.000    0.000    0.000    0.000 argparse.py:1647(__init__)
      145    0.000    0.000    0.000    0.000 guarded_eval.py:460(_find_dunder)
     3000    0.000    0.000    0.000    0.000 transforms.py:1367(depth)
       24    0.000    0.000    0.000    0.000 gettext.py:471(find)
     2400    0.000    0.000    0.000    0.000 axis.py:823(_get_autoscale_on)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2265(_IPv6Constants)
      944    0.000    0.000    0.000    0.000 typing.py:1664(__eq__)
        1    0.000    0.000    0.000    0.000 mouse_events.py:1(<module>)
        6    0.000    0.000    0.000    0.000 getlimits.py:35(__init__)
        1    0.000    0.000    0.000    0.000 mixed.py:1(<module>)
     1806    0.000    0.000    0.000    0.000 text.py:580(_update_clip_properties)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:1(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2189(__init__)
   193/93    0.000    0.000    0.000    0.000 core.py:1949(__str__)
        1    0.000    0.000    0.000    0.000 __init__.py:842(copy)
        1    0.000    0.000    0.000    0.000 prompts.py:1(<module>)
      101    0.000    0.000    0.000    0.000 traitlets.py:2248(__init__)
      247    0.000    0.000    0.000    0.000 _parser.py:309(_class_escape)
      324    0.000    0.000    0.000    0.000 _parser.py:446(_uniq)
        1    0.000    0.000    0.000    0.000 openpy.py:1(<module>)
      903    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      604    0.000    0.000    0.000    0.000 transforms.py:269(y1)
      214    0.000    0.000    0.000    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
        1    0.000    0.000    0.000    0.000 style_transformation.py:1(<module>)
     1800    0.000    0.000    0.000    0.000 _base.py:454(<genexpr>)
      300    0.000    0.000    0.000    0.000 markers.py:508(_half_fill)
     1891    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      152    0.000    0.000    0.000    0.000 _parser.py:896(_parse_flags)
      828    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
        1    0.000    0.000    0.000    0.000 vt100.py:1(<module>)
     1804    0.000    0.000    0.000    0.000 fromnumeric.py:2333(_sum_dispatcher)
        1    0.000    0.000    0.000    0.000 argparse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1814(Parser)
      113    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:1(<module>)
     1694    0.000    0.000    0.000    0.000 unicode.py:63(<genexpr>)
      300    0.000    0.000    0.000    0.000 collections.py:750(_get_default_antialiased)
        1    0.000    0.000    0.000    0.000 interactiveshell.py:204(TerminalInteractiveShell)
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:1(<module>)
       49    0.000    0.000    0.000    0.000 core.py:129(get_object_signature)
      604    0.000    0.000    0.000    0.000 transforms.py:259(x1)
       12    0.000    0.000    0.000    0.000 util.py:381(_inner)
        2    0.000    0.000    0.000    0.000 transforms.py:1963(clear)
      305    0.000    0.000    0.000    0.000 figure.py:2802(axes)
        1    0.000    0.000    0.000    0.000 async_generator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 displaypub.py:1(<module>)
        2    0.000    0.000    0.000    0.000 namespace.py:1(<module>)
       47    0.000    0.000    0.000    0.000 dataclasses.py:723(_get_field)
        1    0.000    0.000    0.000    0.000 ExifTags.py:295(<dictcomp>)
      181    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
       36    0.000    0.000    0.000    0.000 traitlets.py:3579(__init__)
        2    0.000    0.000    0.000    0.000 _base.py:803(set_subplotspec)
      455    0.000    0.000    0.000    0.000 <string>:2(__init__)
      604    0.000    0.000    0.000    0.000 backend_bases.py:1793(is_saving)
        1    0.000    0.000    0.000    0.000 markers.py:1(<module>)
     10/4    0.000    0.000    0.000    0.000 core.py:4355(streamline)
        1    0.000    0.000    0.000    0.000 process.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       52    0.000    0.000    0.000    0.000 shutil.py:1398(get_terminal_size)
     1208    0.000    0.000    0.000    0.000 lines.py:1457(is_dashed)
        1    0.000    0.000    0.000    0.000 request.py:939(AbstractBasicAuthHandler)
        3    0.000    0.000    0.000    0.000 pathlib.py:981(resolve)
        1    0.000    0.000    0.000    0.000 display.py:26(DisplayMagics)
     1208    0.000    0.000    0.000    0.000 _base.py:1827(get_anchor)
       26    0.000    0.000    0.000    0.000 core.py:7101(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1012(<dictcomp>)
        1    0.000    0.000    0.000    0.000 text.py:614(DollarFormatter)
        2    0.000    0.000    0.000    0.000 __init__.py:519(_get_config_or_cache_dir)
        2    0.000    0.000    0.000    0.000 sysconfig.py:197(_safe_realpath)
     1025    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        1    0.000    0.000    0.000    0.000 _type_check_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 secrets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 artist.py:1407(ArtistInspector)
      125    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        1    0.000    0.000    0.000    0.000 prefix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
     1220    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       39    0.000    0.000    0.000    0.000 inspect.py:1441(formatannotation)
        2    0.000    0.000    0.000    0.000 error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:511(FrameInfo)
       59    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       69    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
       27    0.000    0.000    0.000    0.000 core.py:5755(__init__)
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:449(polyfit)
      690    0.000    0.000    0.000    0.000 _mathtext_data.py:1724(<genexpr>)
       52    0.000    0.000    0.000    0.000 pathlib.py:530(_make_child)
       26    0.000    0.000    0.000    0.000 core.py:7107(getdoc)
       24    0.000    0.000    0.000    0.000 __init__.py:214(__getattr__)
       63    0.000    0.000    0.000    0.000 base.py:105(create)
       38    0.000    0.000    0.000    0.000 transforms.py:1324(__init_subclass__)
      300    0.000    0.000    0.000    0.000 collections.py:487(set_urls)
      906    0.000    0.000    0.000    0.000 path.py:737(unit_rectangle)
        1    0.000    0.000    0.000    0.000 instance.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PyColorize.py:1(<module>)
      300    0.000    0.000    0.000    0.000 colors.py:2344(scaled)
      604    0.000    0.000    0.000    0.000 core.py:3310(_scalar_heuristic)
       38    0.000    0.000    0.000    0.000 traitlets.py:3392(__init__)
      992    0.000    0.000    0.000    0.000 typing.py:895(__eq__)
      605    0.000    0.000    0.000    0.000 backend_bases.py:1730(<lambda>)
      214    0.000    0.000    0.000    0.000 enum.py:931(_check_for_existing_members_)
        2    0.000    0.000    0.000    0.000 __init__.py:208(findall)
        1    0.000    0.000    0.000    0.000 ImageFile.py:1(<module>)
      306    0.000    0.000    0.000    0.000 results.py:153(__new__)
        1    0.000    0.000    0.000    0.000 mimetypes.py:1(<module>)
      414    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 _nanfunctions_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selection.py:1(<module>)
     1112    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
     1420    0.000    0.000    0.000    0.000 _parser.py:168(__setitem__)
      162    0.000    0.000    0.000    0.000 traitlets.py:857(tag)
      813    0.000    0.000    0.000    0.000 __init__.py:1000(<lambda>)
        1    0.000    0.000    0.000    0.000 helpers.py:153(one_of)
       83    0.000    0.000    0.000    0.000 __init__.py:877(normalize)
        1    0.000    0.000    0.000    0.000 latex_symbols.py:1(<module>)
      916    0.000    0.000    0.000    0.000 cbook.py:158(__setitem__)
     1302    0.000    0.000    0.000    0.000 __init__.py:678(_set)
        2    0.000    0.000    0.000    0.000 dataclasses.py:599(_frozen_get_del_attr)
        1    0.000    0.000    0.000    0.000 result.py:1(<module>)
        5    0.000    0.000    0.000    0.000 _docscrape.py:599(__str__)
       91    0.000    0.000    0.000    0.000 core.py:2398(__init__)
     1208    0.000    0.000    0.000    0.000 _base.py:1631(get_aspect)
        5    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 socketserver.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1542(_IPv4Constants)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:240(<lambda>)
      271    0.000    0.000    0.000    0.000 _docscrape.py:57(seek_next_non_empty_line)
       76    0.000    0.000    0.000    0.000 rcsetup.py:102(<listcomp>)
        1    0.000    0.000    0.000    0.000 rcsetup.py:1370(<dictcomp>)
        2    0.000    0.000    0.000    0.000 _base.py:837(set_figure)
        1    0.000    0.000    0.000    0.000 __init__.py:212(_get_version)
     1504    0.000    0.000    0.000    0.000 colors.py:2174(vmin)
       42    0.000    0.000    0.000    0.000 deprecation.py:439(<listcomp>)
        1    0.000    0.000    0.000    0.000 markers.py:150(MarkerStyle)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
      233    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 unicode.py:1(<module>)
       43    0.000    0.000    0.000    0.000 pathlib.py:757(joinpath)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1475(__init__)
        1    0.000    0.000    0.000    0.000 completion_cache.py:1(<module>)
        6    0.000    0.000    0.000    0.000 filters.py:131(following_text)
        1    0.000    0.000    0.000    0.000 flow_analysis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 renderer.py:1(<module>)
       53    0.000    0.000    0.000    0.000 typing.py:329(_flatten_literal_params)
     1001    0.000    0.000    0.000    0.000 _docscrape.py:64(eof)
       15    0.000    0.000    0.000    0.000 core.py:1594(__or__)
        1    0.000    0.000    0.000    0.000 __init__.py:40(__getattr__)
       81    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        2    0.000    0.000    0.000    0.000 sysconfig.py:265(_extend_dict)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 data_structures.py:1(<module>)
       35    0.000    0.000    0.000    0.000 core.py:3054(__init__)
        1    0.000    0.000    0.000    0.000 timeouts.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _meta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 displayhook.py:1(<module>)
       40    0.000    0.000    0.000    0.000 core.py:2452(__init__)
     1208    0.000    0.000    0.000    0.000 _base.py:1188(get_axes_locator)
        1    0.000    0.000    0.000    0.000 packaging.py:1(<module>)
     2002    0.000    0.000    0.000    0.000 typing.py:2256(cast)
       22    0.000    0.000    0.000    0.000 core.py:4166(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 coloransi.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
       55    0.000    0.000    0.000    0.000 <frozen posixpath>:229(expanduser)
        5    0.000    0.000    0.000    0.000 _docscrape.py:548(__str__)
       49    0.000    0.000    0.000    0.000 key_bindings.py:478(decorator)
        2    0.000    0.000    0.000    0.000 gridspec.py:648(get_position)
        3    0.000    0.000    0.000    0.000 deprecation.py:255(rename_parameter)
        1    0.000    0.000    0.000    0.000 pydoc.py:465(Doc)
        1    0.000    0.000    0.000    0.000 py3compat.py:1(<module>)
      414    0.000    0.000    0.000    0.000 _parser.py:956(fix_flags)
        1    0.000    0.000    0.000    0.000 debug.py:1(<module>)
      605    0.000    0.000    0.000    0.000 cbook.py:123(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:596(matplotlib_fname)
        4    0.000    0.000    0.000    0.000 core.py:1511(__mul__)
       38    0.000    0.000    0.000    0.000 _docscrape.py:85(read_to_next_unindented_line)
        1    0.000    0.000    0.000    0.000 figure.py:2424(Figure)
        7    0.000    0.000    0.000    0.000 core.py:5977(__add__)
     1500    0.000    0.000    0.000    0.000 fromnumeric.py:2114(_shape_dispatcher)
      545    0.000    0.000    0.000    0.000 traitlets.py:458(subclass_init)
        1    0.000    0.000    0.000    0.000 difflib.py:1(<module>)
       38    0.000    0.000    0.000    0.000 argparse.py:629(_expand_help)
        1    0.000    0.000    0.000    0.000 _constrained_layout.py:1(<module>)
       20    0.000    0.000    0.000    0.000 typing.py:2045(__init_subclass__)
        1    0.000    0.000    0.000    0.000 scale.py:729(_get_scale_docs)
     1136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.000    0.000 color_depth.py:1(<module>)
       24    0.000    0.000    0.000    0.000 argparse.py:278(add_arguments)
        1    0.000    0.000    0.000    0.000 annotation.py:1(<module>)
      302    0.000    0.000    0.000    0.000 contextlib.py:751(__init__)
     1204    0.000    0.000    0.000    0.000 colors.py:2185(vmax)
      319    0.000    0.000    0.000    0.000 function_base.py:455(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 core.py:22(Evaluator)
      107    0.000    0.000    0.000    0.000 typing.py:1656(<genexpr>)
       14    0.000    0.000    0.000    0.000 core.py:5972(__init__)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
       17    0.000    0.000    0.000    0.000 guarded_eval.py:785(_list_methods)
        1    0.000    0.000    0.000    0.000 project.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mlab.py:1(<module>)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1889(__init__)
        1    0.000    0.000    0.000    0.000 _multiufuncs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:2946(__new__)
        1    0.000    0.000    0.000    0.000 colors.py:1061(_init)
     1207    0.000    0.000    0.000    0.000 _function_base_impl.py:1365(_diff_dispatcher)
  306/282    0.000    0.000    0.000    0.000 results.py:176(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:198(split)
      302    0.000    0.000    0.000    0.000 configurable.py:597(initialized)
      994    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
      368    0.000    0.000    0.000    0.000 _docscrape.py:91(peek)
        1    0.000    0.000    0.000    0.000 sysconfig.py:456(get_makefile_filename)
      392    0.000    0.000    0.000    0.000 utils.py:21(to_filter)
      602    0.000    0.000    0.000    0.000 collections.py:574(get_offsets)
        3    0.000    0.000    0.000    0.000 typing.py:2909(NamedTuple)
      404    0.000    0.000    0.000    0.000 __init__.py:1467(debug)
        4    0.000    0.000    0.000    0.000 decorator.py:277(decorator)
       52    0.000    0.000    0.000    0.000 core.py:938(__init__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
       15    0.000    0.000    0.000    0.000 core.py:4347(__init__)
       88    0.000    0.000    0.000    0.000 pathlib.py:546(__fspath__)
        1    0.000    0.000    0.000    0.000 _twodim_base_impl.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _linalg.py:496(inv)
     1740    0.000    0.000    0.000    0.000 typing.py:736(<genexpr>)
        1    0.000    0.000    0.000    0.000 logging.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:301(<listcomp>)
       40    0.000    0.000    0.000    0.000 argparse.py:260(add_argument)
        1    0.000    0.000    0.000    0.000 io.py:1(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:617(gen_candidates)
      716    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
       49    0.000    0.000    0.000    0.000 key_bindings.py:108(__init__)
      140    0.000    0.000    0.000    0.000 typing_extensions.py:2976(_is_unpacked_typevartuple)
        1    0.000    0.000    0.000    0.000 _osx_support.py:331(_check_for_unavailable_sdk)
       61    0.000    0.000    0.000    0.000 typing.py:945(__init__)
    429/1    0.000    0.000    0.000    0.000 __config__.py:14(_cleanup)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
       11    0.000    0.000    0.000    0.000 version.py:47(parse)
     49/1    0.000    0.000    0.000    0.000 __config__.py:20(<dictcomp>)
  466/460    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 display_trap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 xmlbuilder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:1(<module>)
      300    0.000    0.000    0.000    0.000 colorizer.py:410(norm)
      548    0.000    0.000    0.000    0.000 rcsetup.py:191(validator)
      300    0.000    0.000    0.000    0.000 collections.py:215(set_paths)
        1    0.000    0.000    0.000    0.000 storemagic.py:1(<module>)
      602    0.000    0.000    0.000    0.000 backend_bases.py:1785(_idle_draw_cntx)
        1    0.000    0.000    0.000    0.000 payload.py:1(<module>)
        1    0.000    0.000    0.000    0.000 macro.py:1(<module>)
      322    0.000    0.000    0.000    0.000 rcsetup.py:893(_convert_validator_spec)
        1    0.000    0.000    0.000    0.000 auto.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pretty.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vi_state.py:1(<module>)
        1    0.000    0.000    0.000    0.000 colorable.py:1(<module>)
        3    0.000    0.000    0.000    0.000 colors.py:581(_create_lookup_table)
       39    0.000    0.000    0.000    0.000 getlimits.py:112(_float_to_str)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
     1543    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       78    0.000    0.000    0.000    0.000 core.py:4167(<genexpr>)
        1    0.000    0.000    0.000    0.000 common_rules.py:1(<module>)
      115    0.000    0.000    0.000    0.000 __init__.py:107(read)
        1    0.000    0.000    0.000    0.000 builtin_trap.py:1(<module>)
       41    0.000    0.000    0.000    0.000 _functools.py:89(pass_none)
        1    0.000    0.000    0.000    0.000 _sputils.py:1(<module>)
     12/2    0.000    0.000    0.000    0.000 core.py:1571(makeOptionalList)
        1    0.000    0.000    0.000    0.000 __init__.py:560(get_configdir)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pygments.py:1(<module>)
      300    0.000    0.000    0.000    0.000 path.py:807(unit_circle)
        1    0.000    0.000    0.000    0.000 pkgutil.py:1(<module>)
       11    0.000    0.000    0.000    0.000 version.py:188(__init__)
       13    0.000    0.000    0.000    0.000 textwrap.py:470(indent)
        1    0.000    0.000    0.000    0.000 lgmres.py:1(<module>)
       21    0.000    0.000    0.000    0.000 artist.py:23(_prevent_rasterization)
      936    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1565(<genexpr>)
      748    0.000    0.000    0.000    0.000 ast.py:255(iter_fields)
        1    0.000    0.000    0.000    0.000 extension.py:1(<module>)
      553    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       38    0.000    0.000    0.000    0.000 rcsetup.py:759(<genexpr>)
        1    0.000    0.000    0.000    0.000 completer.py:970(Completer)
       39    0.000    0.000    0.000    0.000 colors.py:506(<setcomp>)
      302    0.000    0.000    0.000    0.000 backend_bases.py:1182(__init__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:439(_populate)
     1204    0.000    0.000    0.000    0.000 scale.py:96(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:1506(__or__)
      135    0.000    0.000    0.000    0.000 core.py:2009(__eq__)
      252    0.000    0.000    0.000    0.000 <frozen os>:756(encode)
      994    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        2    0.000    0.000    0.000    0.000 _base.py:892(_set_lim_and_transforms)
        1    0.000    0.000    0.000    0.000 common.py:432(<listcomp>)
      414    0.000    0.000    0.000    0.000 _parser.py:73(__init__)
       25    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
       10    0.000    0.000    0.000    0.000 path.py:191(_create_closed)
      668    0.000    0.000    0.000    0.000 _docscrape.py:80(is_empty)
      906    0.000    0.000    0.000    0.000 backend_bases.py:844(set_clip_rectangle)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 extensions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lazy_value.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _meta.py:7(PackageMetadata)
      444    0.000    0.000    0.000    0.000 argparse.py:1390(register)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        1    0.000    0.000    0.000    0.000 relativedelta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
       27    0.000    0.000    0.000    0.000 artist.py:44(allow_rasterization)
        8    0.000    0.000    0.000    0.000 typing_extensions.py:579(__new__)
       20    0.000    0.000    0.000    0.000 cache.py:102(memoize_method)
        1    0.000    0.000    0.000    0.000 _interface.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _multiufuncs.py:25(__init__)
       19    0.000    0.000    0.000    0.000 __init__.py:482(cycler)
       30    0.000    0.000    0.000    0.000 pathlib.py:353(_select_from)
        1    0.000    0.000    0.000    0.000 _typing.py:1(<module>)
       25    0.000    0.000    0.000    0.000 dtypes.py:30(_add_dtype_helper)
        1    0.000    0.000    0.000    0.000 plain_text.py:1(<module>)
       23    0.000    0.000    0.000    0.000 colors.py:1233(reversed)
        1    0.000    0.000    0.000    0.000 legend_handler.py:1(<module>)
      901    0.000    0.000    0.000    0.000 artist.py:1101(get_label)
       21    0.000    0.000    0.000    0.000 traitlets.py:3860(__init__)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
        7    0.000    0.000    0.000    0.000 {method 'Parse' of 'pyexpat.xmlparser' objects}
       33    0.000    0.000    0.000    0.000 __init__.py:675(__init__)
       78    0.000    0.000    0.000    0.000 argparse.py:601(_format_args)
       46    0.000    0.000    0.000    0.000 colors.py:1193(__init__)
        3    0.000    0.000    0.000    0.000 _version.py:151(__ge__)
        1    0.000    0.000    0.000    0.000 {built-in method time.gmtime}
       11    0.000    0.000    0.000    0.000 core.py:1730(__call__)
        1    0.000    0.000    0.000    0.000 registry.py:142(backward_compatible_entry_points)
      386    0.000    0.000    0.000    0.000 inspect.py:300(ismethod)
        1    0.000    0.000    0.000    0.000 isoparser.py:1(<module>)
