CMDLINE /usr/bin/python3.11 sph.py
MEM 126.890625 1739284220.3043
MEM 122.621094 1739284220.4047
MEM 122.554688 1739284220.5050
MEM 122.378906 1739284220.6053
MEM 127.003906 1739284220.7057
MEM 125.753906 1739284220.8061
MEM 122.378906 1739284220.9066
MEM 122.378906 1739284221.0070
MEM 122.589844 1739284221.1073
MEM 122.589844 1739284221.2077
MEM 122.703125 1739284221.3082
MEM 122.703125 1739284221.4086
MEM 126.078125 1739284221.5090
MEM 122.703125 1739284221.6094
MEM 122.687500 1739284221.7098
MEM 122.589844 1739284221.8102
MEM 122.613281 1739284221.9105
MEM 122.664062 1739284222.0109
MEM 122.664062 1739284222.1112
MEM 126.664062 1739284222.2116
MEM 126.414062 1739284222.3120
MEM 123.289062 1739284222.4124
MEM 122.664062 1739284222.5129
MEM 122.664062 1739284222.6133
MEM 122.664062 1739284222.7136
MEM 122.667969 1739284222.8140
MEM 122.667969 1739284222.9144
MEM 122.667969 1739284223.0147
MEM 122.667969 1739284223.1151
MEM 122.667969 1739284223.2154
MEM 129.792969 1739284223.3159
MEM 127.167969 1739284223.4163
MEM 122.667969 1739284223.5166
MEM 122.667969 1739284223.6170
MEM 122.667969 1739284223.7174
MEM 122.667969 1739284223.8179
MEM 122.667969 1739284223.9182
MEM 122.667969 1739284224.0186
MEM 122.667969 1739284224.1190
MEM 122.667969 1739284224.2195
MEM 122.667969 1739284224.3198
MEM 122.667969 1739284224.4201
MEM 122.667969 1739284224.5205
MEM 122.667969 1739284224.6208
MEM 122.667969 1739284224.7212
MEM 122.667969 1739284224.8216
MEM 126.417969 1739284224.9219
MEM 126.542969 1739284225.0223
MEM 122.667969 1739284225.1227
MEM 122.667969 1739284225.2230
MEM 122.660156 1739284225.3234
MEM 122.660156 1739284225.4237
MEM 122.660156 1739284225.5240
MEM 122.664062 1739284225.6244
MEM 122.664062 1739284225.7248
MEM 127.289062 1739284225.8252
MEM 126.664062 1739284225.9255
MEM 122.664062 1739284226.0259
MEM 122.664062 1739284226.1263
MEM 122.664062 1739284226.2266
MEM 122.664062 1739284226.3270
MEM 122.382812 1739284226.4273
MEM 122.453125 1739284226.5278
MEM 122.453125 1739284226.6281
MEM 122.515625 1739284226.7285
MEM 122.515625 1739284226.8288
MEM 122.515625 1739284226.9292
MEM 122.515625 1739284227.0296
MEM 122.515625 1739284227.1300
MEM 122.515625 1739284227.2303
MEM 127.265625 1739284227.3308
MEM 126.015625 1739284227.4315
MEM 122.515625 1739284227.5318
MEM 122.515625 1739284227.6322
MEM 122.515625 1739284227.7326
MEM 122.515625 1739284227.8330
MEM 122.515625 1739284227.9333
MEM 126.015625 1739284228.0337
MEM 122.515625 1739284228.1341
MEM 122.515625 1739284228.2344
MEM 122.515625 1739284228.3348
MEM 122.593750 1739284228.4351
MEM 122.593750 1739284228.5355
MEM 122.578125 1739284228.6359
MEM 122.382812 1739284228.7363
MEM 122.382812 1739284228.8367
MEM 129.507812 1739284228.9371
MEM 125.882812 1739284229.0375
MEM 122.382812 1739284229.1383
MEM 122.382812 1739284229.2387
MEM 122.382812 1739284229.3390
MEM 131.531250 1739284229.4394
MEM 122.800781 1739284229.5397
MEM 122.800781 1739284229.6400
