CMDLINE c:\Users\rmare\AppData\Local\Programs\Python\Python311\python.exe sph.py
MEM 2.042969 1737629682.9978
MEM 18.488281 1737629683.0989
MEM 27.488281 1737629683.1993
MEM 32.781250 1737629683.2996
MEM 38.398438 1737629683.4001
MEM 45.324219 1737629683.5007
MEM 51.875000 1737629683.6010
MEM 57.585938 1737629683.7016
MEM 67.847656 1737629683.8020
MEM 74.769531 1737629683.9024
MEM 81.761719 1737629684.0029
MEM 87.941406 1737629684.1035
MEM 92.511719 1737629684.2037
MEM 100.312500 1737629684.3043
MEM 108.445312 1737629684.4046
MEM 105.304688 1737629684.5057
MEM 106.835938 1737629684.6062
MEM 112.203125 1737629684.7065
MEM 110.968750 1737629684.8069
MEM 112.964844 1737629684.9073
MEM 113.269531 1737629685.0082
MEM 107.339844 1737629685.1085
MEM 106.140625 1737629685.2090
MEM 113.238281 1737629685.3096
MEM 106.207031 1737629685.4102
MEM 106.218750 1737629685.5107
MEM 106.269531 1737629685.6113
MEM 113.328125 1737629685.7116
MEM 106.308594 1737629685.8119
MEM 106.324219 1737629685.9124
MEM 114.332031 1737629686.0129
MEM 106.347656 1737629686.1134
MEM 106.347656 1737629686.2138
MEM 106.363281 1737629686.3145
MEM 106.363281 1737629686.4149
MEM 111.925781 1737629686.5154
MEM 106.363281 1737629686.6157
MEM 106.363281 1737629686.7159
MEM 106.363281 1737629686.8166
MEM 113.652344 1737629686.9168
MEM 106.363281 1737629687.0175
MEM 106.367188 1737629687.1182
MEM 106.375000 1737629687.2189
MEM 113.550781 1737629687.3193
MEM 106.375000 1737629687.4201
MEM 106.375000 1737629687.5206
MEM 108.828125 1737629687.6212
MEM 106.375000 1737629687.7218
MEM 106.375000 1737629687.8224
MEM 114.765625 1737629687.9228
MEM 106.378906 1737629688.0235
MEM 106.378906 1737629688.1246
MEM 106.390625 1737629688.2254
MEM 111.683594 1737629688.3259
MEM 106.394531 1737629688.4266
MEM 106.410156 1737629688.5271
MEM 113.609375 1737629688.6276
MEM 106.433594 1737629688.7284
MEM 106.433594 1737629688.8290
MEM 113.093750 1737629688.9296
MEM 110.125000 1737629689.0301
MEM 106.457031 1737629689.1303
MEM 106.457031 1737629689.2309
MEM 106.457031 1737629689.3314
MEM 106.457031 1737629689.4317
MEM 106.457031 1737629689.5319
MEM 106.457031 1737629689.6325
MEM 112.304688 1737629689.7332
MEM 113.121094 1737629689.8340
MEM 106.457031 1737629689.9349
MEM 106.457031 1737629690.0354
MEM 113.371094 1737629690.1360
MEM 112.968750 1737629690.2365
MEM 106.460938 1737629690.3371
MEM 106.460938 1737629690.4376
MEM 113.003906 1737629690.5383
MEM 106.460938 1737629690.6387
MEM 106.460938 1737629690.7389
MEM 106.460938 1737629690.8394
MEM 112.441406 1737629690.9398
MEM 106.460938 1737629691.0405
MEM 106.464844 1737629691.1410
MEM 106.464844 1737629691.2415
MEM 106.464844 1737629691.3417
MEM 106.464844 1737629691.4421
MEM 112.488281 1737629691.5424
MEM 109.296875 1737629691.6430
MEM 106.480469 1737629691.7435
MEM 106.480469 1737629691.8440
MEM 106.480469 1737629691.9444
MEM 106.480469 1737629692.0446
MEM 116.261719 1737629692.1451
MEM 106.480469 1737629692.2453
MEM 106.480469 1737629692.3456
MEM 112.527344 1737629692.4458
MEM 113.160156 1737629692.5465
MEM 106.480469 1737629692.6470
MEM 106.484375 1737629692.7472
MEM 111.417969 1737629692.8477
MEM 106.484375 1737629692.9481
MEM 106.484375 1737629693.0485
MEM 106.484375 1737629693.1489
MEM 106.484375 1737629693.2492
MEM 114.410156 1737629693.3500
MEM 106.484375 1737629693.4505
MEM 106.484375 1737629693.5511
MEM 114.605469 1737629693.6514
MEM 106.484375 1737629693.7517
MEM 106.484375 1737629693.8519
MEM 113.437500 1737629693.9521
MEM 106.484375 1737629694.0529
MEM 106.484375 1737629694.1532
MEM 115.078125 1737629694.2537
MEM 116.218750 1737629694.3543
MEM 106.484375 1737629694.4548
MEM 106.902344 1737629694.5555
MEM 106.484375 1737629694.6557
MEM 106.484375 1737629694.7559
MEM 106.484375 1737629694.8565
MEM 106.484375 1737629694.9569
MEM 113.800781 1737629695.0575
MEM 106.484375 1737629695.1579
MEM 115.980469 1737629695.2585
MEM 106.484375 1737629695.3589
MEM 113.203125 1737629695.4595
MEM 106.484375 1737629695.5599
MEM 106.484375 1737629695.6607
MEM 112.597656 1737629695.7614
MEM 106.484375 1737629695.8618
MEM 106.484375 1737629695.9624
MEM 108.929688 1737629696.0628
MEM 106.484375 1737629696.1633
MEM 106.484375 1737629696.2638
MEM 113.628906 1737629696.3643
MEM 106.484375 1737629696.4646
MEM 106.484375 1737629696.5651
MEM 115.785156 1737629696.6655
MEM 106.484375 1737629696.7658
MEM 106.484375 1737629696.8665
MEM 106.484375 1737629696.9667
MEM 114.867188 1737629697.0673
MEM 106.484375 1737629697.1683
MEM 106.484375 1737629697.2688
MEM 112.804688 1737629697.3690
MEM 106.484375 1737629697.4696
MEM 113.050781 1737629697.5701
MEM 106.484375 1737629697.6705
MEM 106.488281 1737629697.7712
MEM 112.699219 1737629697.8718
MEM 106.488281 1737629697.9721
MEM 106.488281 1737629698.0723
MEM 115.625000 1737629698.1727
MEM 106.488281 1737629698.2734
MEM 106.488281 1737629698.3739
MEM 112.636719 1737629698.4743
MEM 107.234375 1737629698.5750
MEM 106.488281 1737629698.6757
MEM 106.488281 1737629698.7761
MEM 111.820312 1737629698.8764
MEM 106.488281 1737629698.9771
MEM 106.488281 1737629699.0774
MEM 112.718750 1737629699.1779
MEM 106.488281 1737629699.2782
MEM 113.433594 1737629699.3786
MEM 106.488281 1737629699.4793
MEM 106.488281 1737629699.5800
MEM 111.906250 1737629699.6804
MEM 106.488281 1737629699.7809
MEM 106.488281 1737629699.8811
MEM 106.488281 1737629699.9817
MEM 112.765625 1737629700.0821
MEM 106.488281 1737629700.1829
MEM 106.488281 1737629700.2834
MEM 106.488281 1737629700.3840
MEM 112.019531 1737629700.4848
MEM 106.488281 1737629700.5852
MEM 106.488281 1737629700.6857
MEM 106.488281 1737629700.7864
MEM 106.488281 1737629700.8867
MEM 106.503906 1737629700.9875
MEM 106.488281 1737629701.0877
MEM 106.488281 1737629701.1882
MEM 114.617188 1737629701.2885
MEM 106.488281 1737629701.3888
MEM 106.488281 1737629701.4892
MEM 115.953125 1737629701.5894
MEM 106.488281 1737629701.6900
MEM 106.488281 1737629701.7905
MEM 106.488281 1737629701.8908
MEM 112.601562 1737629701.9910
MEM 106.488281 1737629702.0916
MEM 106.488281 1737629702.1920
MEM 111.843750 1737629702.2922
MEM 106.488281 1737629702.3928
MEM 106.789062 1737629702.4935
MEM 112.054688 1737629702.5941
MEM 106.488281 1737629702.6946
MEM 106.617188 1737629702.7953
MEM 106.488281 1737629702.8958
MEM 106.488281 1737629702.9963
MEM 106.488281 1737629703.0970
MEM 113.398438 1737629703.1975
MEM 112.007812 1737629703.2980
MEM 106.488281 1737629703.3983
MEM 106.488281 1737629703.4990
MEM 106.488281 1737629703.5995
MEM 106.488281 1737629703.6998
MEM 116.214844 1737629703.8003
MEM 106.488281 1737629703.9008
MEM 106.488281 1737629704.0015
MEM 106.488281 1737629704.1020
MEM 113.082031 1737629704.2024
MEM 106.488281 1737629704.3027
MEM 106.488281 1737629704.4030
MEM 106.589844 1737629704.5035
MEM 106.714844 1737629704.6040
MEM 106.714844 1737629704.7042
MEM 112.835938 1737629704.8045
MEM 112.281250 1737629704.9055
MEM 106.714844 1737629705.0060
MEM 106.714844 1737629705.1063
MEM 106.714844 1737629705.2070
MEM 116.125000 1737629705.3074
MEM 106.714844 1737629705.4080
MEM 106.714844 1737629705.5085
MEM 113.343750 1737629705.6088
MEM 106.714844 1737629705.7095
MEM 106.714844 1737629705.8097
MEM 106.714844 1737629705.9102
MEM 112.828125 1737629706.0109
MEM 116.089844 1737629706.1119
MEM 106.714844 1737629706.2127
MEM 106.714844 1737629706.3131
MEM 106.714844 1737629706.4134
MEM 106.714844 1737629706.5138
MEM 112.894531 1737629706.6144
MEM 113.214844 1737629706.7153
MEM 106.714844 1737629706.8157
MEM 106.714844 1737629706.9160
MEM 106.714844 1737629707.0164
MEM 112.863281 1737629707.1168
MEM 114.957031 1737629707.2177
MEM 106.714844 1737629707.3181
MEM 106.718750 1737629707.4188
MEM 107.941406 1737629707.5196
MEM 106.718750 1737629707.6203
MEM 106.718750 1737629707.7209
MEM 114.804688 1737629707.8211
MEM 106.718750 1737629707.9216
MEM 114.832031 1737629708.0221
MEM 106.718750 1737629708.1224
MEM 106.718750 1737629708.2228
MEM 106.718750 1737629708.3232
MEM 111.433594 1737629708.4236
MEM 102.937500 1737629708.5239
