CMDLINE /usr/bin/python3.11 sph.py
MEM 0.730469 1738765040.7738
MEM 19.906250 1738765040.8743
MEM 29.929688 1738765040.9747
MEM 37.277344 1738765041.0752
MEM 43.812500 1738765041.1757
MEM 55.113281 1738765041.2773
MEM 63.636719 1738765041.3777
MEM 74.328125 1738765041.4782
MEM 77.828125 1738765041.5788
MEM 82.406250 1738765041.6793
MEM 86.656250 1738765041.7797
MEM 86.781250 1738765041.8801
MEM 96.308594 1738765041.9806
MEM 111.417969 1738765042.0811
MEM 120.003906 1738765042.1816
MEM 122.066406 1738765042.2822
MEM 120.871094 1738765042.3827
MEM 120.933594 1738765042.4831
MEM 121.007812 1738765042.5835
MEM 124.652344 1738765042.6841
MEM 121.027344 1738765042.7845
MEM 121.039062 1738765042.8850
MEM 121.070312 1738765042.9854
MEM 121.093750 1738765043.0860
MEM 123.546875 1738765043.1865
MEM 122.007812 1738765043.2871
MEM 121.132812 1738765043.3880
MEM 121.140625 1738765043.4884
MEM 121.156250 1738765043.5888
MEM 121.183594 1738765043.6893
MEM 121.195312 1738765043.7898
MEM 121.207031 1738765043.8902
MEM 125.109375 1738765043.9907
MEM 121.234375 1738765044.0912
MEM 121.250000 1738765044.1916
MEM 121.253906 1738765044.2922
MEM 121.273438 1738765044.3927
MEM 123.031250 1738765044.4936
MEM 121.281250 1738765044.5941
MEM 121.285156 1738765044.6946
MEM 121.308594 1738765044.7951
MEM 121.308594 1738765044.8956
MEM 121.316406 1738765044.9961
MEM 121.316406 1738765045.0965
MEM 124.816406 1738765045.1971
MEM 121.316406 1738765045.2977
MEM 121.316406 1738765045.3982
MEM 121.316406 1738765045.4987
MEM 121.316406 1738765045.5991
MEM 121.316406 1738765045.6995
MEM 121.320312 1738765045.7999
MEM 121.320312 1738765045.9006
MEM 123.843750 1738765046.0012
MEM 121.343750 1738765046.1017
MEM 121.218750 1738765046.2021
MEM 121.222656 1738765046.3025
MEM 121.222656 1738765046.4031
MEM 121.222656 1738765046.5036
MEM 124.851562 1738765046.6041
MEM 122.351562 1738765046.7046
MEM 121.230469 1738765046.8050
MEM 121.230469 1738765046.9060
MEM 121.230469 1738765047.0065
MEM 121.230469 1738765047.1069
MEM 121.230469 1738765047.2074
MEM 121.234375 1738765047.3078
MEM 125.984375 1738765047.4083
MEM 121.234375 1738765047.5089
MEM 121.390625 1738765047.6093
MEM 121.406250 1738765047.7098
MEM 121.316406 1738765047.8102
MEM 121.316406 1738765047.9107
MEM 121.332031 1738765048.0112
MEM 121.382812 1738765048.1116
MEM 121.457031 1738765048.2121
MEM 123.914062 1738765048.3125
MEM 121.453125 1738765048.4130
MEM 121.460938 1738765048.5135
MEM 121.460938 1738765048.6140
MEM 121.480469 1738765048.7145
MEM 121.480469 1738765048.8149
MEM 121.523438 1738765048.9154
MEM 121.445312 1738765049.0158
MEM 121.460938 1738765049.1162
MEM 121.460938 1738765049.2166
MEM 121.460938 1738765049.3171
MEM 121.460938 1738765049.4175
MEM 121.460938 1738765049.5180
MEM 123.902344 1738765049.6185
MEM 121.460938 1738765049.7188
MEM 121.386719 1738765049.8193
MEM 121.421875 1738765049.9198
MEM 121.179688 1738765050.0202
MEM 122.304688 1738765050.1207
MEM 121.179688 1738765050.2211
MEM 121.179688 1738765050.3216
MEM 121.179688 1738765050.4221
MEM 121.179688 1738765050.5225
MEM 124.679688 1738765050.6231
MEM 124.429688 1738765050.7236
MEM 121.179688 1738765050.8241
MEM 121.179688 1738765050.9246
MEM 121.179688 1738765051.0252
MEM 121.179688 1738765051.1257
MEM 128.304688 1738765051.2262
MEM 121.179688 1738765051.3266
MEM 121.179688 1738765051.4271
MEM 121.179688 1738765051.5277
MEM 121.183594 1738765051.6281
MEM 121.183594 1738765051.7284
MEM 124.683594 1738765051.8290
MEM 121.183594 1738765051.9294
MEM 121.183594 1738765052.0298
MEM 121.183594 1738765052.1302
MEM 121.183594 1738765052.2307
MEM 121.183594 1738765052.3312
MEM 121.187500 1738765052.4317
MEM 128.312500 1738765052.5322
MEM 121.187500 1738765052.6327
MEM 121.187500 1738765052.7331
MEM 121.199219 1738765052.8337
MEM 121.199219 1738765052.9342
MEM 121.343750 1738765053.0347
MEM 125.468750 1738765053.1351
MEM 121.300781 1738765053.2355
MEM 121.300781 1738765053.3361
MEM 121.300781 1738765053.4365
MEM 121.242188 1738765053.5370
MEM 123.683594 1738765053.6376
MEM 121.242188 1738765053.7382
MEM 121.281250 1738765053.8386
MEM 121.281250 1738765053.9391
MEM 121.281250 1738765054.0395
MEM 124.531250 1738765054.1401
MEM 121.281250 1738765054.2406
MEM 121.285156 1738765054.3411
MEM 121.292969 1738765054.4415
MEM 121.292969 1738765054.5420
MEM 121.796875 1738765054.6425
MEM 121.296875 1738765054.7429
MEM 121.300781 1738765054.8433
MEM 121.300781 1738765054.9439
MEM 121.300781 1738765055.0445
MEM 121.300781 1738765055.1449
MEM 128.425781 1738765055.2455
MEM 121.300781 1738765055.3461
MEM 121.300781 1738765055.4466
MEM 121.300781 1738765055.5474
MEM 121.300781 1738765055.6480
MEM 121.300781 1738765055.7483
MEM 121.250000 1738765055.8489
MEM 125.000000 1738765055.9494
MEM 121.250000 1738765056.0500
MEM 121.250000 1738765056.1506
MEM 121.253906 1738765056.2510
MEM 121.257812 1738765056.3516
MEM 121.257812 1738765056.4521
MEM 128.382812 1738765056.5526
MEM 121.257812 1738765056.6531
MEM 121.257812 1738765056.7535
MEM 121.257812 1738765056.8540
MEM 121.261719 1738765056.9545
MEM 121.261719 1738765057.0549
MEM 121.253906 1738765057.1553
MEM 121.253906 1738765057.2557
MEM 121.253906 1738765057.3561
MEM 121.253906 1738765057.4569
MEM 121.300781 1738765057.5574
MEM 122.675781 1738765057.6579
MEM 122.687500 1738765057.7584
MEM 121.300781 1738765057.8588
MEM 121.300781 1738765057.9592
MEM 121.300781 1738765058.0597
MEM 121.300781 1738765058.1602
MEM 121.300781 1738765058.2607
MEM 121.300781 1738765058.3612
MEM 128.175781 1738765058.4616
MEM 122.050781 1738765058.5622
MEM 121.300781 1738765058.6626
MEM 121.300781 1738765058.7631
MEM 121.300781 1738765058.8635
MEM 121.300781 1738765058.9640
MEM 121.300781 1738765059.0645
MEM 121.300781 1738765059.1649
MEM 121.300781 1738765059.2654
MEM 128.425781 1738765059.3658
MEM 122.550781 1738765059.4664
MEM 121.300781 1738765059.5669
MEM 121.300781 1738765059.6674
MEM 121.300781 1738765059.7679
MEM 121.312500 1738765059.8684
MEM 121.312500 1738765059.9688
MEM 122.312500 1738765060.0693
MEM 122.937500 1738765060.1698
