CMDLINE /usr/bin/python3.11 sph.py
MEM 121.312500 1738765060.2702
MEM 121.312500 1738765060.3710
MEM 121.312500 1738765060.4715
MEM 121.402344 1738765060.5720
MEM 121.402344 1738765060.6726
MEM 121.359375 1738765060.7731
MEM 121.359375 1738765060.8735
MEM 121.359375 1738765060.9740
MEM 121.359375 1738765061.0745
MEM 127.109375 1738765061.1750
MEM 121.359375 1738765061.2756
MEM 121.359375 1738765061.3760
MEM 121.359375 1738765061.4764
MEM 121.359375 1738765061.5768
MEM 121.359375 1738765061.6773
MEM 121.359375 1738765061.7778
MEM 121.359375 1738765061.8783
MEM 122.109375 1738765061.9791
MEM 124.859375 1738765062.0795
MEM 121.359375 1738765062.1800
MEM 121.359375 1738765062.2804
MEM 121.359375 1738765062.3809
MEM 121.359375 1738765062.4813
MEM 121.359375 1738765062.5818
MEM 121.386719 1738765062.6823
MEM 126.660156 1738765062.7828
MEM 121.347656 1738765062.8834
MEM 121.347656 1738765062.9839
MEM 121.394531 1738765063.0843
MEM 121.558594 1738765063.1848
MEM 121.562500 1738765063.2852
MEM 125.312500 1738765063.3856
MEM 124.812500 1738765063.4861
MEM 121.625000 1738765063.5870
MEM 121.625000 1738765063.6874
MEM 121.625000 1738765063.7879
MEM 121.625000 1738765063.8884
MEM 121.625000 1738765063.9888
MEM 121.625000 1738765064.0892
MEM 121.625000 1738765064.1897
MEM 125.625000 1738765064.2902
MEM 121.625000 1738765064.3908
MEM 121.625000 1738765064.4912
MEM 121.625000 1738765064.5916
MEM 121.738281 1738765064.6921
MEM 121.738281 1738765064.7926
MEM 121.738281 1738765064.8931
MEM 126.363281 1738765064.9939
MEM 121.738281 1738765065.0943
MEM 121.738281 1738765065.1948
MEM 121.738281 1738765065.2953
MEM 121.738281 1738765065.3958
MEM 121.738281 1738765065.4962
MEM 125.238281 1738765065.5967
MEM 122.488281 1738765065.6972
MEM 121.738281 1738765065.7978
MEM 121.738281 1738765065.8982
MEM 121.738281 1738765065.9987
MEM 121.738281 1738765066.0992
MEM 121.738281 1738765066.1997
MEM 121.738281 1738765066.3003
MEM 121.738281 1738765066.4009
MEM 121.738281 1738765066.5014
MEM 121.738281 1738765066.6019
MEM 121.738281 1738765066.7024
MEM 121.738281 1738765066.8028
MEM 121.738281 1738765066.9033
MEM 122.238281 1738765067.0040
MEM 121.738281 1738765067.1044
MEM 121.738281 1738765067.2048
MEM 121.738281 1738765067.3053
MEM 121.738281 1738765067.4058
MEM 121.738281 1738765067.5063
MEM 121.738281 1738765067.6069
MEM 121.738281 1738765067.7073
MEM 126.363281 1738765067.8079
MEM 121.738281 1738765067.9087
MEM 121.738281 1738765068.0091
MEM 121.738281 1738765068.1096
MEM 121.738281 1738765068.2100
MEM 121.738281 1738765068.3106
MEM 121.738281 1738765068.4110
MEM 125.613281 1738765068.5115
MEM 121.738281 1738765068.6120
MEM 121.738281 1738765068.7129
MEM 121.738281 1738765068.8134
MEM 121.738281 1738765068.9138
MEM 121.738281 1738765069.0144
MEM 121.738281 1738765069.1149
MEM 121.738281 1738765069.2153
MEM 121.738281 1738765069.3158
MEM 121.738281 1738765069.4163
MEM 121.738281 1738765069.5168
MEM 128.863281 1738765069.6174
MEM 124.363281 1738765069.7179
MEM 121.644531 1738765069.8183
MEM 121.578125 1738765069.9188
MEM 121.578125 1738765070.0192
MEM 122.703125 1738765070.1197
MEM 121.578125 1738765070.2201
MEM 121.578125 1738765070.3206
MEM 121.578125 1738765070.4211
MEM 121.578125 1738765070.5216
MEM 121.578125 1738765070.6221
MEM 121.578125 1738765070.7225
MEM 126.078125 1738765070.8230
MEM 121.953125 1738765070.9236
MEM 121.578125 1738765071.0242
MEM 121.578125 1738765071.1247
MEM 121.578125 1738765071.2251
MEM 121.578125 1738765071.3256
MEM 121.578125 1738765071.4260
MEM 121.578125 1738765071.5266
MEM 128.078125 1738765071.6272
MEM 121.578125 1738765071.7277
MEM 121.578125 1738765071.8281
MEM 121.578125 1738765071.9285
MEM 121.578125 1738765072.0290
MEM 121.578125 1738765072.1294
MEM 121.578125 1738765072.2301
MEM 121.578125 1738765072.3310
MEM 127.953125 1738765072.4315
MEM 123.828125 1738765072.5319
MEM 121.542969 1738765072.6324
MEM 121.542969 1738765072.7329
MEM 121.542969 1738765072.8333
MEM 121.542969 1738765072.9339
MEM 121.542969 1738765073.0344
MEM 128.667969 1738765073.1349
MEM 121.542969 1738765073.2356
MEM 121.542969 1738765073.3360
MEM 121.542969 1738765073.4364
MEM 121.613281 1738765073.5368
MEM 121.613281 1738765073.6373
MEM 121.613281 1738765073.7377
MEM 121.613281 1738765073.8381
MEM 126.363281 1738765073.9386
MEM 121.613281 1738765074.0393
MEM 121.613281 1738765074.1397
MEM 121.613281 1738765074.2402
MEM 121.601562 1738765074.3407
MEM 121.601562 1738765074.4411
MEM 121.601562 1738765074.5416
MEM 121.613281 1738765074.6420
MEM 126.238281 1738765074.7425
MEM 124.238281 1738765074.8430
MEM 121.613281 1738765074.9441
MEM 121.613281 1738765075.0445
MEM 121.613281 1738765075.1449
MEM 121.613281 1738765075.2453
MEM 121.613281 1738765075.3458
MEM 121.613281 1738765075.4463
MEM 121.496094 1738765075.5467
MEM 123.937500 1738765075.6474
MEM 121.496094 1738765075.7478
MEM 121.496094 1738765075.8482
MEM 121.386719 1738765075.9487
MEM 121.386719 1738765076.0494
MEM 121.429688 1738765076.1500
MEM 121.429688 1738765076.2505
MEM 121.449219 1738765076.3511
MEM 121.511719 1738765076.4516
MEM 121.511719 1738765076.5520
MEM 121.488281 1738765076.6526
MEM 121.488281 1738765076.7531
MEM 121.488281 1738765076.8535
MEM 121.597656 1738765076.9540
MEM 121.597656 1738765077.0544
MEM 121.597656 1738765077.1549
MEM 121.597656 1738765077.2553
MEM 124.722656 1738765077.3558
MEM 125.597656 1738765077.4562
MEM 121.597656 1738765077.5566
MEM 121.597656 1738765077.6571
MEM 121.597656 1738765077.7578
MEM 121.597656 1738765077.8582
MEM 121.597656 1738765077.9587
MEM 121.597656 1738765078.0595
MEM 125.996094 1738765078.1599
MEM 130.542969 1738765078.2607
MEM 121.804688 1738765078.3612
MEM 121.804688 1738765078.4617
MEM 0.000000 1738765078.5622
