CMDLINE /usr/bin/python sph.py
MEM 1.949219 1738760983.5800
MEM 19.449219 1738760983.6804
MEM 26.937500 1738760983.7807
MEM 34.968750 1738760983.8810
MEM 42.878906 1738760983.9814
MEM 51.808594 1738760984.0817
MEM 62.558594 1738760984.1821
MEM 71.015625 1738760984.2825
MEM 75.558594 1738760984.3830
MEM 80.812500 1738760984.4834
MEM 83.187500 1738760984.5838
MEM 83.437500 1738760984.6842
