CMDLINE /usr/bin/python sph.py
MEM 0.593750 1738760988.2131
MEM 19.609375 1738760988.3134
MEM 27.957031 1738760988.4139
MEM 37.046875 1738760988.5142
MEM 45.519531 1738760988.6146
MEM 54.992188 1738760988.7149
MEM 66.046875 1738760988.8153
MEM 73.597656 1738760988.9158
MEM 78.882812 1738760989.0164
MEM 83.132812 1738760989.1168
MEM 84.007812 1738760989.2172
MEM 84.007812 1738760989.3177
